,SITE,TYPE,DATE,Historical_Sites,HEIGHT.m.,AREA.m2.,GREEN_AREA,SITE_VEGETATION_COVER,GREEN_COVERAGE_100,GREEN_COVERAGE_150,GREEN_COVERAGE_200,BLUE_COVERAGE_100,BLUE_COVERAGE_150,BLUE_COVERAGE_200,AVE_TEMP,Precipitation,TOTAL_RECORDINGS,BATS_RECORDINGS,PASSES,FEEDINGBUZZ,SOCIALCALL,MAIN_SPECIES,MAIN_PASSESS,PERCENTAGE,OTHER_SPECIES1,OTHER_PASSESS1,PERCENTAGE1,OTHER_SPECIES2,OTHER_PASSESS2,Mean_50,SD_50,Max_50,Mean_100,SD_100,Max_100,Mean_150,SD_150,Max_150,Mean_200,SD_200,Max_200
1,100Liverpool,Extensive,25/06-02/07,0,50,2334,397,17.01,1.16,0.91,1.99,0,0,0.18,18.68,0.02,122,0,0,0,0,,0,,,0,,,NA,25.825543,21.889454,65.97435,26.342593,21.958862,74.7071,22.844522,19.921743,74.7071,21.449465,19.938639,96.83301
2,110FetterLn,Intensive,18/06-25/06,0,30,2621,193,7.36,6.9,6.85,5.34,0,0.02,0.03,17.46,0,252,2,2,0,0,Lesser noctule,2,100%,,0,,,NA,18.01884,13.575732,36.984,16.486859,13.508864,59.669,17.476724,15.843295,77.68801,16.362233,14.614142,77.68801
3,120Fenchurch,Intensive,11/06-18/06,0,65,2942,581,19.75,1.59,1.35,1.12,0,0,0,13.77,2.13,877,0,0,0,0,,0,,,0,,,NA,35.46314,30.679609,124.558,24.680118,31.527944,186.19201,21.97727,27.145057,186.19201,21.525155,25.036148,223.65701
4,1WoodSt,Extensive,02/07-09/07,0,35,2246,1476,65.72,4.34,3.88,5.06,0,0.16,0.09,15.78,16.4,69,0,0,0,0,,0,,,0,,,NA,22.632975,14.395888,38.335,21.730044,14.871268,51.328,19.558216,14.762058,51.328,17.579156,14.32922,51.328
5,60LondonWall,Extensive,18/06-25/06,0,50,2229,95,4.26,1.87,5.33,6.82,0,0,0,17.8,0,439,0,0,0,0,,0,,,0,,,NA,32.832235,18.388247,69.74701,23.485149,18.13444,69.74701,20.212627,18.260629,102.329,18.433111,16.823657,102.329
6,79ChaterhouseSt,Conventional,25/06-02/07,1,12,176,0,0,2.94,2.99,5.81,0,0,0,18.82,0.02,6,5,5,0,0,Common Pipistrelle,5,100.00%,,0,,NLS(23/06/2024),1,7.163794,6.869716,25.443,8.507532,7.146841,30.912,9.316207,7.784258,50.30143,9.860324,8.990199,72.26201
7,BarberSurgeons,Garden,25/06-02/07,1,0,3430,3220,93.88,15.81,13.14,15.25,6.52,4.64,5.48,19.77,0.02,1020,512,517,56,230,Common Pipistrelle,490,94.78%,Soprano Pipistrelle/Pipistrelle,33,6.38%,NLS,1,10.777651,18.759886,75.279,12.317434,19.941614,86.58,15.494503,22.090519,86.58,15.910528,21.438072,94.818
8,BirdBird,Extensive,02/07-09/07,0,50,1142,750,65.67,4.31,4.14,4.46,0.09,0.04,0.02,16.36,16.4,182,0,0,0,0,,0,,,0,,,NA,25.942674,25.280668,77.68801,23.220787,20.848401,77.68801,20.740691,18.302311,77.68801,18.073104,17.08405,77.68801
9,CannonBridgeHouse,Intensive,02/07-09/07,1,25,3775,1765,46.75,9.87,7.59,6.96,13.41,25.21,30.81,16.31,16.4,570,287,301,79,0,Common Pipistrelle,276,91.69%,Soprano Pipistrelle/Pipistrelle,26,8.64%,,NA,21.601073,9.87319,43.333,16.98159,14.35956,47.534,14.474687,15.544766,49.204,12.5785,15.339505,49.204
10,ClearyGarden,Garden,02/07-09/07,0,0,1865,1097,58.82,8.37,5.34,5.18,0,1.08,5.18,17.4,16.4,1131,268,269,229,0,Common Pipistrelle,269,100%,,0,,,NA,10.009936,10.485675,27.961,11.040001,10.614789,27.961,11.891106,10.634839,37.375,11.497182,10.621986,39.505
11,Greyfriar,Garden,18/06-25/06,0,0,3499,2239,63.99,10.15,6.79,8.36,0,0,0.05,19.1,0,320,151,154,49,7,Common Pipistrelle,134,87.01%,Soprano Pipistrelle/Pipistrelle,20,12.99%,,NA,7.517319,11.848362,35.608,16.926167,14.811683,52.34461,18.415268,15.357501,52.34461,16.38805,14.860191,64.07501
12,Guildhall,Extensive,11/06-18/06,1,7,2230,786,35.25,7.34,5.32,3.93,0.68,0.39,0.23,15.38,2.13,135,42,42,4,0,Common Pipistrelle,40,95.20%,Pipistrelle,2,4.80%,,NA,12.669233,10.38984,32.06713,12.62017,12.721619,42.903,17.698402,16.500486,76.69801,18.931168,17.956834,84.348
13,InnerTemple,Garden,02/07-09/07,1,0,14164,13364,94.35,58.88,36.88,26.44,4.36,16.51,24,16.5,16.4,4652,3058,3101,155,548,Common Pipistrelle,2712,87.46%,Soprano Pipistrelle/Pipistrelle,476,15.35%,,NA,5.2327,8.104672,33.945,5.562731,8.075116,33.945,5.892039,8.539203,33.945,6.342722,8.832278,59.202
14,MaughanLibrary,Conventional,02/07-09/07,1,20,3400,0,0,11.07,6.54,5.09,0,0,0.02,16.27,16.4,17,1,1,0,0,Common Pipistrelle,1,100%,,0,,,NA,13.189567,11.998391,46.396,15.321389,13.26579,51.776,15.70156,14.226753,76.628,15.172518,14.312675,77.68801
